Day,Market Name,Order Count,Revenue
2018-05-03T00:00:00.000-04:00,Chicago IL,3,1517
2018-05-04T00:00:00.000-04:00,Chicago IL,5,1729.25
2018-05-06T00:00:00.000-04:00,Chicago IL,5,1547.25
2018-05-07T00:00:00.000-04:00,Chicago IL,3,1224.25
2018-05-08T00:00:00.000-04:00,Chicago IL,3,1129.75
2018-05-10T00:00:00.000-04:00,Chicago IL,5,2076.5
2018-05-11T00:00:00.000-04:00,Chicago IL,5,1829
2018-05-12T00:00:00.000-04:00,Chicago IL,3,1507.25
2018-05-13T00:00:00.000-04:00,Chicago IL,2,1306.25
2018-05-14T00:00:00.000-04:00,Chicago IL,1,676
2018-05-15T00:00:00.000-04:00,Chicago IL,1,420.75
2018-05-18T00:00:00.000-04:00,Chicago IL,7,2231
2018-05-19T00:00:00.000-04:00,Chicago IL,6,2033.25
2018-05-20T00:00:00.000-04:00,Chicago IL,5,1635.5
2018-05-21T00:00:00.000-04:00,Chicago IL,5,1448
2018-05-23T00:00:00.000-04:00,Chicago IL,1,479.75
2018-05-24T00:00:00.000-04:00,Chicago IL,2,831.75
2018-05-25T00:00:00.000-04:00,Chicago IL,5,1713
2018-05-28T00:00:00.000-04:00,Chicago IL,5,2376.5
2018-05-29T00:00:00.000-04:00,Chicago IL,5,2641
2018-05-30T00:00:00.000-04:00,Chicago IL,8,2655.25
2018-05-31T00:00:00.000-04:00,Chicago IL,9,2865
2018-06-03T00:00:00.000-04:00,Chicago IL,8,2401.75
2018-06-04T00:00:00.000-04:00,Chicago IL,4,2038.5
2018-06-06T00:00:00.000-04:00,Chicago IL,3,868.5
2018-06-07T00:00:00.000-04:00,Chicago IL,3,850.75
2018-06-08T00:00:00.000-04:00,Chicago IL,3,525.5
2018-06-10T00:00:00.000-04:00,Chicago IL,4,964.75
2018-06-11T00:00:00.000-04:00,Chicago IL,3,1743.25
2018-06-13T00:00:00.000-04:00,Chicago IL,2,426.25
2018-06-14T00:00:00.000-04:00,Chicago IL,7,2364.25
2018-06-16T00:00:00.000-04:00,Chicago IL,4,1269.25
2018-06-17T00:00:00.000-04:00,Chicago IL,5,1566.75
2018-06-18T00:00:00.000-04:00,Chicago IL,2,1718.75
2018-06-19T00:00:00.000-04:00,Chicago IL,2,416.5
2018-06-20T00:00:00.000-04:00,Chicago IL,3,622.5
2018-06-21T00:00:00.000-04:00,Chicago IL,2,397
2018-06-22T00:00:00.000-04:00,Chicago IL,5,1359.75
2018-06-23T00:00:00.000-04:00,Chicago IL,5,2025
2018-06-24T00:00:00.000-04:00,Chicago IL,6,2422.75
2018-06-25T00:00:00.000-04:00,Chicago IL,5,1968.5
2018-06-26T00:00:00.000-04:00,Chicago IL,3,567.75
2018-07-03T00:00:00.000-04:00,Chicago IL,6,2342.5
2018-07-05T00:00:00.000-04:00,Chicago IL,8,2509.75
2018-07-07T00:00:00.000-04:00,Chicago IL,6,2751.25
2018-07-08T00:00:00.000-04:00,Chicago IL,6,1879.5
2018-07-10T00:00:00.000-04:00,Chicago IL,4,1432
2018-07-11T00:00:00.000-04:00,Chicago IL,3,878.25
2018-07-13T00:00:00.000-04:00,Chicago IL,5,2146.5
2018-07-14T00:00:00.000-04:00,Chicago IL,4,1291
2018-07-17T00:00:00.000-04:00,Chicago IL,3,1390
2018-07-18T00:00:00.000-04:00,Chicago IL,6,2424.25
2018-07-19T00:00:00.000-04:00,Chicago IL,6,2976.75
2018-07-20T00:00:00.000-04:00,Chicago IL,6,2856.5
2018-07-21T00:00:00.000-04:00,Chicago IL,1,440.5
2018-07-22T00:00:00.000-04:00,Chicago IL,2,446.5
2018-07-23T00:00:00.000-04:00,Chicago IL,1,778.25
2018-07-24T00:00:00.000-04:00,Chicago IL,3,1710
2018-07-25T00:00:00.000-04:00,Chicago IL,7,2033.5
2018-08-03T00:00:00.000-04:00,Chicago IL,4,1099.5
2018-08-04T00:00:00.000-04:00,Chicago IL,5,1521.5
2018-08-05T00:00:00.000-04:00,Chicago IL,7,1935.25
2018-08-06T00:00:00.000-04:00,Chicago IL,4,2123.25
2018-08-07T00:00:00.000-04:00,Chicago IL,5,1692.5
2018-08-08T00:00:00.000-04:00,Chicago IL,4,2073
2018-08-09T00:00:00.000-04:00,Chicago IL,2,665.5
2018-08-10T00:00:00.000-04:00,Chicago IL,6,1657
2018-08-11T00:00:00.000-04:00,Chicago IL,4,1271
2018-08-12T00:00:00.000-04:00,Chicago IL,5,2521.25
2018-08-13T00:00:00.000-04:00,Chicago IL,5,1124
2018-08-14T00:00:00.000-04:00,Chicago IL,1,511
2018-08-15T00:00:00.000-04:00,Chicago IL,4,2451.75
2018-08-16T00:00:00.000-04:00,Chicago IL,3,1047.5
2018-08-17T00:00:00.000-04:00,Chicago IL,6,2511.75
2018-08-18T00:00:00.000-04:00,Chicago IL,9,2872
2018-08-19T00:00:00.000-04:00,Chicago IL,6,2562.25
2018-08-20T00:00:00.000-04:00,Chicago IL,2,874.75
2018-08-21T00:00:00.000-04:00,Chicago IL,2,689.75
2018-08-22T00:00:00.000-04:00,Chicago IL,3,859.25
2018-08-23T00:00:00.000-04:00,Chicago IL,5,1841.25
2018-08-24T00:00:00.000-04:00,Chicago IL,6,1556.75
2018-08-26T00:00:00.000-04:00,Chicago IL,5,2085
2018-08-27T00:00:00.000-04:00,Chicago IL,4,2298.5
2018-08-28T00:00:00.000-04:00,Chicago IL,4,1032
2018-09-02T00:00:00.000-04:00,Chicago IL,7,2820.75
2018-09-03T00:00:00.000-04:00,Chicago IL,2,1250.25
2018-09-04T00:00:00.000-04:00,Chicago IL,3,1073.5
2018-09-05T00:00:00.000-04:00,Chicago IL,4,2365.25
2018-09-06T00:00:00.000-04:00,Chicago IL,4,1778.25
2018-09-07T00:00:00.000-04:00,Chicago IL,4,1027.25
2018-09-08T00:00:00.000-04:00,Chicago IL,5,2373.75
2018-09-09T00:00:00.000-04:00,Chicago IL,3,1452
2018-09-10T00:00:00.000-04:00,Chicago IL,4,1122.5
2018-09-12T00:00:00.000-04:00,Chicago IL,1,422.5
2018-09-13T00:00:00.000-04:00,Chicago IL,4,1518
2018-09-15T00:00:00.000-04:00,Chicago IL,6,2334
2018-09-16T00:00:00.000-04:00,Chicago IL,3,1133.75
2018-09-21T00:00:00.000-04:00,Chicago IL,2,554.75
2018-09-24T00:00:00.000-04:00,Chicago IL,2,454
2018-09-25T00:00:00.000-04:00,Chicago IL,1,409.75
2018-09-27T00:00:00.000-04:00,Chicago IL,1,477
2018-09-28T00:00:00.000-04:00,Chicago IL,5,2126.5
2018-09-29T00:00:00.000-04:00,Chicago IL,5,2127.5
2018-09-30T00:00:00.000-04:00,Chicago IL,3,1538.75
2018-10-01T00:00:00.000-04:00,Chicago IL,3,1269.25
2018-10-02T00:00:00.000-04:00,Chicago IL,2,402
2018-10-03T00:00:00.000-04:00,Chicago IL,2,1399.5
2018-10-06T00:00:00.000-04:00,Chicago IL,1,495.25
2018-10-07T00:00:00.000-04:00,Chicago IL,2,401
2018-10-09T00:00:00.000-04:00,Chicago IL,1,500
2018-10-10T00:00:00.000-04:00,Chicago IL,2,641
2018-10-15T00:00:00.000-04:00,Chicago IL,1,1171
2018-10-17T00:00:00.000-04:00,Chicago IL,2,775
2018-10-19T00:00:00.000-04:00,Chicago IL,3,1626.5
2018-10-25T00:00:00.000-04:00,Chicago IL,3,770
2018-10-26T00:00:00.000-04:00,Chicago IL,2,552
2018-10-28T00:00:00.000-04:00,Chicago IL,4,1318
2018-10-29T00:00:00.000-04:00,Chicago IL,2,711
2018-10-30T00:00:00.000-04:00,Chicago IL,2,705.5
2018-10-31T00:00:00.000-04:00,Chicago IL,2,2299
2018-11-01T00:00:00.000-04:00,Chicago IL,3,1296.5
2018-11-02T00:00:00.000-04:00,Chicago IL,1,795.75
2018-11-04T00:00:00.000-04:00,Chicago IL,1,521.75
2018-11-07T00:00:00.000-05:00,Chicago IL,2,1359.25
2018-11-09T00:00:00.000-05:00,Chicago IL,2,647
2018-11-14T00:00:00.000-05:00,Chicago IL,2,899
2018-11-15T00:00:00.000-05:00,Chicago IL,1,486.5
2018-11-16T00:00:00.000-05:00,Chicago IL,3,1285.75
2018-11-17T00:00:00.000-05:00,Chicago IL,2,2142.5
2018-11-18T00:00:00.000-05:00,Chicago IL,3,880.75
2018-11-20T00:00:00.000-05:00,Chicago IL,1,598.75
2018-11-25T00:00:00.000-05:00,Chicago IL,1,728
2018-11-28T00:00:00.000-05:00,Chicago IL,3,1583
2018-11-29T00:00:00.000-05:00,Chicago IL,1,507
2018-11-30T00:00:00.000-05:00,Chicago IL,3,3042.75
2018-12-01T00:00:00.000-05:00,Chicago IL,2,2297.5
2018-12-02T00:00:00.000-05:00,Chicago IL,2,759.25
2018-12-03T00:00:00.000-05:00,Chicago IL,2,634.75
2018-12-09T00:00:00.000-05:00,Chicago IL,2,757.5
2018-12-10T00:00:00.000-05:00,Chicago IL,2,783
2018-12-13T00:00:00.000-05:00,Chicago IL,2,941
2018-12-16T00:00:00.000-05:00,Chicago IL,3,2294.75
